locus	ensg_id	gene_symbol	alignment_length	gc_percent	variable_sites	parsimony_informative_sites	pct_informative_sites	gc3_bucket	resolution_bucket	rate_bucket	completeness_bucket
ENSG00000000003_TSPAN6	ENSG00000000003	TSPAN6	738	41.48	278	135	18.29	GC3		slow	80
ENSG00000000005_TNMD	ENSG00000000005	TNMD	954	41.91	295	136	14.26	GC3		slow	90
ENSG00000000457_SCYL3	ENSG00000000457	SCYL3	2232	50.13	1298	816	36.56	GC2	80	fast	90
ENSG00000000460_C1orf112	ENSG00000000460	C1orf112	2556	44.40	1480	871	34.08	GC3	80	slow	90
ENSG00000001036_FUCA2	ENSG00000001036	FUCA2	1398	49.84	799	533	38.13	GC2		fast	90
ENSG00000001084_GCLC	ENSG00000001084	GCLC	1914	47.40	775	462	24.14	GC2	70	slow	90
ENSG00000001167_NFYA	ENSG00000001167	NFYA	1044	54.06	274	156	14.94	GC2		slow	90
ENSG00000001460_STPG1	ENSG00000001460	STPG1	1005	48.48	603	390	38.81	GC2		fast	90
ENSG00000001461_NIPAL3	ENSG00000001461	NIPAL3	1221	53.80	457	281	23.01	GC1		slow	90
ENSG00000001497_LAS1L	ENSG00000001497	LAS1L	2217	52.23	1291	626	28.24	GC2	80	fast	80
ENSG00000001561_ENPP4	ENSG00000001561	ENPP4	1362	41.32	677	417	30.62	GC3	70	slow	90
ENSG00000001617_SEMA3F	ENSG00000001617	SEMA3F	2358	62.47	788	466	19.76		70	slow	80
ENSG00000001626_CFTR	ENSG00000001626	CFTR	4446	42.47	2117	1201	27.01	GC3	80	slow	90
ENSG00000001629_ANKIB1	ENSG00000001629	ANKIB1	3273	45.69	1239	628	19.19	GC3	90	slow	90
ENSG00000001630_CYP51A1	ENSG00000001630	CYP51A1	1524	44.70	661	340	22.31	GC3	70	slow	90
ENSG00000001631_KRIT1	ENSG00000001631	KRIT1	2211	38.76	686	345	15.60	GC3	70	slow	90
ENSG00000002016_RAD52	ENSG00000002016	RAD52	1269	52.10	771	490	38.61	GC2	70	fast	90
