locus	num_taxa	tree_length	mean_bootstrap_support
OGcluster_1000_0	26	3.8863	79.6
OGcluster_1004_0	19	1.5502	54.9
OGcluster_1006_0	17	0.5816	80.1
OGcluster_1006_1	18	4.4111	84.5
OGcluster_1006_2	24	1.0812	84.0
OGcluster_1009_0	41	7.2195	83.2
OGcluster_1010_0	25	8.1618	65.1
OGcluster_1013_0	17	0.7028	90.5
OGcluster_1014_0	20	19.9424	47.2
OGcluster_101_0	27	2.3083	76.3
OGcluster_1021_0	50	9.6607	71.6
OGcluster_1023_0	24	0.5315	76.0
OGcluster_1026_0	32	1.3123	73.6
OGcluster_1027_0	29	3.4042	86.3
OGcluster_1029_0	20	0.7535	93.1
OGcluster_1029_1	21	0.6898	89.8
OGcluster_102_0	38	11.9811	75.3
OGcluster_102_1	49	7.4336	78.5
OGcluster_102_2	22	1.0235	86.1
OGcluster_102_3	21	0.9529	94.0
OGcluster_1031_0	40	7.1742	85.6
OGcluster_1031_1	45	5.9776	84.5
OGcluster_1033_0	45	3.2573	75.2
OGcluster_1037_0	25	0.7035	61.0
OGcluster_1037_1	21	1.4613	65.4
OGcluster_1037_2	17	1.1626	54.3
OGcluster_1038_0	17	6.7830	72.7
OGcluster_1039_0	21	10.6599	68.1
OGcluster_1042_0	48	10.1049	78.2
OGcluster_1047_0	45	10.4377	67.5
OGcluster_1049_0	47	7.7874	77.5
OGcluster_1049_1	44	21.8930	69.5
OGcluster_104_0	20	0.7455	92.1
OGcluster_104_1	47	7.1770	79.0
OGcluster_104_2	42	5.4483	75.5
OGcluster_104_3	38	7.0125	72.6
OGcluster_104_4	35	3.9689	84.3
OGcluster_104_5	26	1.7676	87.6
OGcluster_1051_0	21	1.6380	86.5
OGcluster_1054_0	25	1.3834	88.2
OGcluster_1056_0	33	4.1313	68.2
OGcluster_1058_0	24	1.1558	78.9
OGcluster_105_0	36	4.1314	79.7
OGcluster_1061_0	41	10.3685	71.3
OGcluster_1064_0	46	12.0927	70.3
OGcluster_1064_1	21	0.9884	86.4
OGcluster_1066_0	26	1.8582	79.0
OGcluster_1069_0	17	1.0234	77.3
OGcluster_106_0	32	8.8937	73.5
OGcluster_106_1	20	0.5427	82.3
OGcluster_106_2	18	2.0395	77.9
OGcluster_106_3	26	1.7707	85.0
OGcluster_1072_0	41	10.5967	65.7
OGcluster_107_0	27	8.3258	70.4
OGcluster_1081_0	21	0.5836	86.6
OGcluster_1083_0	50	7.5474	78.2
OGcluster_1085_0	49	8.0265	67.9
OGcluster_1087_0	23	0.8389	83.8
OGcluster_1090_0	22	1.4525	64.4
OGcluster_1092_0	38	11.6326	84.7
OGcluster_1094_0	22	0.6695	68.2
OGcluster_1095_0	20	0.4158	92.7
OGcluster_1096_0	21	1.1421	94.9
OGcluster_1096_1	44	3.2192	76.8
OGcluster_109_0	21	1.2923	67.3
OGcluster_109_1	18	1.5415	60.5
OGcluster_109_2	20	1.6735	81.6
OGcluster_1101_0	26	4.3014	82.3
OGcluster_1106_0	18	0.3373	69.8
OGcluster_1107_0	27	2.1341	71.3
OGcluster_1108_0	30	3.3067	71.5
OGcluster_1108_1	32	3.8000	75.6
OGcluster_1108_2	23	0.9822	87.7
OGcluster_110_0	50	28.6415	64.4
OGcluster_1110_0	19	1.0248	92.2
OGcluster_1111_0	30	3.2416	87.3
OGcluster_1111_1	21	0.8102	79.4
OGcluster_1112_0	21	2.7133	78.4
OGcluster_1112_1	21	0.5965	91.4
OGcluster_1112_2	48	6.4568	74.0
OGcluster_1116_0	21	1.6049	60.3
OGcluster_1116_1	19	0.9800	67.9
OGcluster_1117_0	18	0.5299	86.1
OGcluster_1118_0	20	3.7555	94.8
OGcluster_111_0	20	1.0453	75.4
OGcluster_1121_0	31	2.7473	92.6
OGcluster_1122_0	40	3.3761	76.7
OGcluster_1125_0	26	1.5087	88.7
OGcluster_1131_0	29	9.8218	83.3
