locus	num_taxa	tree_length	mean_bootstrap_support
OG0000002_1rr_1.inclade1.ortho1.pos12	26	8.3351	74.6
OG0000002_1rr_1.inclade3.ortho1.pos12	24	6.3615	87.8
OG0000003_5rr_3.inclade3.ortho1.pos12	65	17.3645	87.3
OG0000006_2rr_1.inclade1.ortho1.pos12	37	12.8518	89.8
OG0000006_2rr_1.inclade2.ortho1.pos12	24	2.3385	83.0
OG0000006_2rr_1.inclade3.ortho1.pos12	23	4.0570	90.8
OG0000010_1rr_1.inclade3.ortho1.pos12	26	3.8512	82.2
OG0000010_1rr_1.inclade6.ortho1.pos12	45	11.9584	89.4
OG0000014_3rr_1.unrooted-ortho.pos12	25	4.0680	90.0
OG0000017_4rr_3.inclade1.ortho11.pos12	28	6.1869	87.8
OG0000017_4rr_3.inclade1.ortho12.pos12	21	7.1320	77.6
OG0000017_4rr_3.inclade1.ortho1.pos12	22	5.1772	90.6
OG0000017_4rr_3.inclade1.ortho2.pos12	22	6.3241	83.8
OG0000017_4rr_3.inclade1.ortho3.pos12	33	4.8328	90.1
OG0000017_4rr_3.inclade1.ortho4.pos12	30	6.3440	86.8
OG0000017_4rr_3.inclade1.ortho5.pos12	35	9.4371	84.6
OG0000017_4rr_3.inclade1.ortho6.pos12	30	8.3251	87.8
OG0000017_4rr_3.inclade1.ortho7.pos12	27	9.6680	81.2
OG0000019_11rr_2.inclade1.ortho2.pos12	52	7.6630	89.0
OG0000019_11rr_2.inclade2.ortho1.pos12	54	23.4587	84.0
OG0000019_11rr_2.inclade3.ortho1.pos12	38	9.3827	88.8
OG0000020_1rr_1.inclade1.ortho4.pos12	46	10.3119	90.2
OG0000020_1rr_1.inclade1.ortho6.pos12	45	9.4498	89.6
OG0000020_1rr_1.inclade1.ortho7.pos12	31	6.3700	93.8
OG0000020_1rr_1.inclade1.ortho8.pos12	23	4.1920	84.2
OG0000022_3rr_3.inclade1.ortho1.pos12	44	21.9737	87.7
OG0000022_3rr_3.inclade1.ortho3.pos12	32	13.1540	82.4
OG0000022_3rr_3.inclade2.ortho2.pos12	32	6.4754	86.3
OG0000026_3rr_1.inclade1.ortho1.pos12	24	2.0050	80.1
OG0000026_3rr_1.inclade1.ortho3.pos12	29	4.9612	84.1
